,title,broadcating_count,average_rating
0,나의 나라,16부작,4.32
1,눈이 부시게,12부작,6.27
2,레버리지  사기조작단,16부작,1.77
3,리갈하이,32부작,2.14
4,멜로가 체질,16부작,1.48
5,바람이 분다,16부작,4.04
6,바벨,16부작,3.15
7,보좌관 - 세상을 움직이는 사람들,10부작,4.34
8,아름다운 세상,16부작,3.78
9,열여덟의 순간,16부작,3.4
10,우아한 가,16부작,4.93
11,으라차차 와이키키 2,16부작,1.56
12,조선생존기,16부작,1.24
13,조선혼담공작소 꽃파당,16부작,3.28
14,평일 오후 세시의 연인,16부작,1.54
