,title,episode,rating
0,나의 나라,제 1회,3.5
1,나의 나라,제 2회,3.8
2,나의 나라,제 3회,3.8
3,나의 나라,제 4회,4.8
4,나의 나라,제 5회,4.2
5,나의 나라,제 6회,5.0
6,나의 나라,제 7회,4.7
7,나의 나라,제 8회,4.9
8,나의 나라,제 9회,4.6
9,나의 나라,제 10회,4.9
10,나의 나라,제 11회,4.4
11,나의 나라,제 12회,4.8
12,나의 나라,제 13회,3.6
13,나의 나라,제 14회,4.3
14,나의 나라,제 15회,3.9
15,나의 나라,제 16회,4.0
