,title,before,after
0,"60일, 지정생존자",369,369
1,WATCHER (왓쳐),74,74
2,검색어를 입력하세요 WWW,730,694
3,구해줘 2,330,300
4,그녀의 사생활,510,479
5,날 녹여주오,230,220
6,달리는 조사관,45,45
7,레벨업,160,147
8,로맨스는 별책부록,910,878
9,로스타임 라이프  더 라스트 찬스,60,43
10,막돼먹은 영애씨 시즌17,150,123
11,모두의 거짓말,790,693
12,미스터 기간제,180,163
13,보이스 시즌3,182,181
14,빙의,382,382
15,사이코메트리 그녀석,86,86
16,쌉니다 천리마마트,170,144
17,아스달 연대기,350,330
18,악마가 너의 이름을 부를 때,450,420
19,어비스,192,192
20,왕이 된 남자,680,642
21,위대한 쇼,180,166
22,자백,370,352
23,진심이 닿다,360,347
24,청일전자 미쓰리,146,146
25,최고의 치킨,490,464
26,킬잇,120,110
27,타인은 지옥이다,610,596
28,트랩,240,223
29,호텔 델루나,1540,999
