,title,before,after
0,나의 나라,30,30
1,눈이 부시게,2330,1000
2,레버리지  사기조작단,62,62
3,리갈하이,210,193
4,멜로가 체질,1370,996
5,바람이 분다,370,356
6,바벨,170,107
7,보좌관 - 세상을 움직이는 사람들,500,484
8,아름다운 세상,1370,1000
9,열여덟의 순간,1070,883
10,우아한 가,430,414
11,으라차차 와이키키 2,153,153
12,조선생존기,35,35
13,조선혼담공작소 꽃파당,1140,853
14,평일 오후 세시의 연인,290,266
