,title,episode,rating
0,WATCHER (왓쳐),제 1회,3.0
1,WATCHER (왓쳐),제 2회,4.5
2,WATCHER (왓쳐),제 3회,3.7
3,WATCHER (왓쳐),제 4회,4.5
4,WATCHER (왓쳐),제 5회,3.6
5,WATCHER (왓쳐),제 6회,5.4
6,WATCHER (왓쳐),제 7회,3.7
7,WATCHER (왓쳐),제 8회,5.1
8,WATCHER (왓쳐),제 9회,3.3
9,WATCHER (왓쳐),제 10회,5.1
10,WATCHER (왓쳐),제 11회,3.5
11,WATCHER (왓쳐),제 12회,6.1
12,WATCHER (왓쳐),제 13회,4.2
13,WATCHER (왓쳐),제 14회,5.5
14,WATCHER (왓쳐),제 15회,5.0
15,WATCHER (왓쳐),제 16회,6.6
