,title,episode,rating
0,쌉니다 천리마마트,제 1회,3.2
1,쌉니다 천리마마트,제 2회,3.4
2,쌉니다 천리마마트,제 3회,3.3
3,쌉니다 천리마마트,제 4회,2.8
4,쌉니다 천리마마트,제 5회,2.9
5,쌉니다 천리마마트,제 6회,3.0
6,쌉니다 천리마마트,제 7회,2.5
7,쌉니다 천리마마트,제 8회,2.9
8,쌉니다 천리마마트,제 9회,2.4
9,쌉니다 천리마마트,제 10회,2.1
10,쌉니다 천리마마트,제 11회,2.2
11,쌉니다 천리마마트,제 12회,2.2
