,title,broadcaster,start_date,end_date,last_rating
0,"60일, 지정생존자",tvN,2019.07.01.,2019.08.20.,6.2%
1,WATCHER (왓쳐),OCN,2019.07.06.,2019.08.25.,6.6%
2,검색어를 입력하세요 WWW,tvN,2019.06.05.,2019.07.25.,4.2%
3,구해줘 2,OCN,2019.05.08.,2019.06.27.,3.6%
4,그녀의 사생활,tvN,2019.04.10.,2019.05.30.,3.1%
5,날 녹여주오,tvN,2019.09.28.,2019.11.17.,3.2%
6,너를 싫어하는 방법,JTBC4,2019.04.01.,2019.04.02.,0%
7,달리는 조사관,OCN,2019.09.18.,2019.10.31.,1.3%
8,드라마 스테이지 - 각색은 이미 시작됐다,tvN,2019.01.12.,2019.01.12.,0.6%
9,드라마 스테이지 - 개 같다 거지 같다 아름답다,tvN,2019.01.05.,2019.01.05.,1.1%
10,드라마 스테이지 - 귀피를 흘리는 여자,tvN,2019.12.07.,2019.12.07.,1.0%
11,드라마 스테이지 - 반야,tvN,2019.01.26.,2019.01.26.,0.6%
12,드라마 스테이지 - 아내의 침대,tvN,2019.11.30.,2019.11.30.,1.3%
13,드라마 스테이지 - 오우거,tvN,2019.11.23.,2019.11.23.,1.4%
14,드라마 스테이지 - 파고,tvN,2019.02.02.,2019.02.02.,0.3%
15,레벨업,드라맥스,2019.07.10.,2019.08.15.,1.4%
16,로맨스는 별책부록,tvN,2019.01.26.,2019.03.17.,6.7%
17,로스타임 라이프 : 더 라스트 찬스,UMAX,2019.02.13.,2019.02.14.,0.9%
18,막돼먹은 영애씨 시즌17,tvN,2019.02.08.,2019.04.26.,3.1%
19,모두의 거짓말,OCN,2019.10.12.,2019.12.01.,2.0%
20,미스터 기간제,OCN,2019.07.17.,2019.09.05.,4.8%
21,보이스 시즌3,OCN,2019.05.11.,2019.06.30.,5.5%
22,빙의,OCN,2019.03.06.,2019.04.25.,2.6%
23,사이코메트리 그녀석,tvN,2019.03.11.,2019.04.30.,2.8%
24,쌉니다 천리마마트,tvN,2019.09.20.,2019.12.06.,2.2%
25,아스달 연대기,tvN,2019.06.01.,2019.09.22.,7.7%
26,악마가 너의 이름을 부를 때,tvN,2019.07.31.,2019.09.19.,3.1%
27,어비스,tvN,2019.05.06.,2019.06.25.,3.9%
28,왕이 된 남자,tvN,2019.01.07.,2019.03.04.,10.9%
29,위대한 쇼,tvN,2019.08.26.,2019.10.15.,3.2%
30,자백,tvN,2019.03.23.,2019.05.12.,6.3%
31,진심이 닿다,tvN,2019.02.06.,2019.03.28.,4.7%
32,청일전자 미쓰리,tvN,2019.09.25.,2019.11.14.,3.9%
33,최고의 치킨,드라맥스,2019.01.02.,2019.02.07.,1.3%
34,킬잇,OCN,2019.03.23.,2019.04.28.,2.8%
35,타인은 지옥이다,OCN,2019.08.31.,2019.10.06.,3.9%
36,트랩,OCN,2019.02.09.,2019.03.03.,4.0%
37,호텔 델루나,tvN,2019.07.13.,2019.09.01.,12.0%
